LSOA11CD,LAD11CD
E01000323,E09000003
E01000324,E09000003
E01000325,E09000004
E01000326,E09000004
E01000327,E09000004
E01000328,E09000004
E01000329,E09000004
E01000330,E09000004
E01000331,E09000004
E01000332,E09000004
E01000333,E09000004
E01000334,E09000004
E01000335,E09000004
E01000336,E09000004
E01000337,E09000004
E01000338,E09000004
E01000339,E09000004
E01000340,E09000004
E01000341,E09000004
E01000342,E09000004
E01000343,E09000004
E01000344,E09000004
E01000345,E09000004
E01000346,E09000004
E01000347,E09000004
E01000348,E09000004
E01000349,E09000004
E01000350,E09000004
E01000351,E09000004
E01000352,E09000004
E01000353,E09000004
E01000354,E09000004
E01000355,E09000004
E01000356,E09000004
E01000357,E09000004
E01000358,E09000004
E01000359,E09000004
E01000360,E09000004
E01000361,E09000004
E01000362,E09000004
E01000363,E09000004
E01000364,E09000004
E01000365,E09000004
E01000366,E09000004
E01000367,E09000004
E01000368,E09000004
E01000369,E09000004
E01000370,E09000004
E01000371,E09000004
E01000372,E09000004
E01000373,E09000004
E01000374,E09000004
E01000375,E09000004
E01000376,E09000004
E01000377,E09000004
E01000378,E09000004
E01000379,E09000004
E01000380,E09000004
E01000381,E09000004
E01000382,E09000004
E01000383,E09000004
E01000384,E09000004
E01000385,E09000004
E01000386,E09000004
E01000387,E09000004
E01000388,E09000004
E01000389,E09000004
E01000390,E09000004
E01000391,E09000004
E01000392,E09000004
E01000393,E09000004
E01000394,E09000004
E01000395,E09000004
E01000396,E09000004
E01000398,E09000004
E01000399,E09000004
E01000400,E09000004
E01000401,E09000004
E01000402,E09000004
E01000403,E09000004
E01000404,E09000004
E01000405,E09000004
E01000406,E09000004
E01000407,E09000004
E01000408,E09000004
E01000409,E09000004
E01000410,E09000004
E01000411,E09000004
E01000412,E09000004
E01000413,E09000004
E01000414,E09000004
E01000415,E09000004
E01000416,E09000004
E01000417,E09000004
E01000418,E09000004
E01000419,E09000004
E01000420,E09000004
E01000421,E09000004
E01000422,E09000004
E01000423,E09000004
E01000424,E09000004
E01000425,E09000004
E01000426,E09000004
E01000427,E09000004
E01000428,E09000004
E01000429,E09000004
E01000430,E09000004
E01000431,E09000004
E01000432,E09000004
E01000433,E09000004
E01000434,E09000004
E01000435,E09000004
E01000436,E09000004
E01000437,E09000004
E01000438,E09000004
E01000439,E09000004
E01000440,E09000004
E01000441,E09000004
E01000442,E09000004
E01000443,E09000004
E01000444,E09000004
E01000445,E09000004
E01000446,E09000004
E01000447,E09000004
E01000448,E09000004
E01000449,E09000004
E01000450,E09000004
E01000451,E09000004
E01000452,E09000004
E01000453,E09000004
E01000454,E09000004
E01000455,E09000004
E01000456,E09000004
E01000457,E09000004
E01000458,E09000004
E01000459,E09000004
